Identifier,Database source,Country,ISO,Reg,Inc,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue excluding grants including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social security, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, & capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
SYC2011,GFS,Seychelles,SYC,7,4,2011,,,,,,,0.365681794039861,0.365681794028493,0.355227194073962,0.355227194073962,,,0.314910665504698,0.314910665504698,0,0.314910665504698,0.314910665504698,0.115057957941801,0.115057957941801,0.115057957941801,0.115057957941801,0.115057957930433,0,0.115057957930433,0.0163185719369506,0.0987393859934829,0,0.0987393859934829,0,0,0.199852707576538,0,0.199852707576538,0.112344322086996,0.0925834856562595,,0.0875083854895423,0.0872248548401031,0,0,0.0403165285465293,,,0,0.0104545999856017,,0.355227194073962,0.314910665504698,0.0403165285692634,0.115057957941801,0.115057957930433,0.0163185719369506,0.0987393859934829,0.199852707576538,0.112344322086996,0.0875083854895423,,,,,,
SYC2012,GFS,Seychelles,SYC,7,4,2012,,,,,,,0.350185228050051,0.350185228062275,0.341114172285126,0.341114172285126,,,0.284009339101904,0.284009339101904,0,0.284009339101904,0.284009339101904,0.0976238054554812,0.0976238054554812,0.0976238054554812,0.0976238054554812,0.0976238054348945,0,0.0976238054348945,0.0156306236007463,0.0819931818341482,0,0.0819931818341482,0,0,0.18638553366701,0,0.18638553366701,0.113187334658389,0.0942280361959599,,0.0731981990086207,0.0728809026544004,0,0,0.0571048332153886,,,0,0.00907105573468863,,0.341114172285126,0.284009339101904,0.0571048331832218,0.0976238054554812,0.0976238054348945,0.0156306236007463,0.0819931818341482,0.18638553366701,0.113187334658389,0.0731981990086207,,,,,,
SYR1981,IMF Country Report,Syrian Arab Republic,SYR,4,2,1981,,1,,,,,0.251683719233167,0.251683719233167,0.152287273667087,0.152287273667087,,,0.100156589689405,0.100156589689405,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151527129543761,,,,0.0993964455660793,,0.152287273667087,,,,,,,,,,,1,,,,
SYR1982,IMF Country Report,Syrian Arab Republic,SYR,4,2,1982,,1,,,,,0.279147525731232,0.279147525731232,0.201314182706286,0.201314182706286,,,0.12342269000407,0.12342269000407,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155724835727162,,,,0.0778333430249462,,0.201314182706286,,,,,,,,,,,1,,,,
SYR1983,IMF Country Report,Syrian Arab Republic,SYR,4,2,1983,,1,,,,,0.289639928504182,0.289639928504182,0.211021817139894,0.211021817139894,,,0.119619052816853,0.119619052816853,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170020875687329,,,,0.0786181113642876,,0.211021817139894,,,,,,,,,,,1,,,,
SYR1984,IMF Country Report,Syrian Arab Republic,SYR,4,2,1984,,1,,,,,0.250856096201322,0.250856096201322,0.191128454248626,0.191128454248626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0597276419526957,,0.191128454248626,,,,,,,,,,,1,,,,
SYR1985,IMF Country Report,Syrian Arab Republic,SYR,4,2,1985,,1,,,,,0.255932712526284,0.255932712526284,0.21507960348453,0.21507960348453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0408531090417543,,0.21507960348453,,,,,,,,,,,1,,,,
SYR1986,IMF Country Report,Syrian Arab Republic,SYR,4,2,1986,,1,,,,,0.258172975893849,0.258172975893849,0.237158896460629,0.237158896460629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0210140794332203,,0.237158896460629,,,,,,,,,,,1,,,,
SYR1987,IMF Country Report,Syrian Arab Republic,SYR,4,2,1987,,1,,,,,0.253132047105988,0.253132047105988,0.223283638185918,0.223283638185918,,,0.157197444249562,0.157197444249562,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095934602856427,,,,0.0298484089200702,,0.223283638185918,,,,,,,,,,,1,,,,
SYR1988,IMF Country Report,Syrian Arab Republic,SYR,4,2,1988,,1,,,,,0.223583288093869,0.223583288093869,0.190494874950953,0.190494874950953,,,0.153762221374169,0.153762221374169,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0698210667196999,,,,0.0330884131429155,,0.190494874950953,,,,,,,,,,,1,,,,
