Identifier,Database source,Country,ISO,Reg,Inc,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social contributions, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, and capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,..,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
IRL1982,OECD Tax Statistics,Ireland,IRL,2,4,1982,,,,,,,,,,,,,0.271408115942029,0.267132173913043,0,0.271408115942029,0.267132173913043,0.126125270092227,0.126125270092227,0.121849328063241,0.121849328063241,0.113602582345191,0,0.113602582345191,0.0980913833992095,0.0155111989459816,0,0.0155111989459816,0.00255351778656126,0.0056932279314888,0.14528279314888,0,0.14528279314888,0.145169011857708,0.0636709354413702,0.0741038735177866,0.000113781291172596,0.000113781291172596,0,0,,,,0.00427594202898551,,,,0.267132173913043,,0.121849328063241,0.113602582345191,0.0980913833992095,0.0155111989459816,0.14528279314888,0.145169011857708,0.000113781291172596,,,,,,
IRL1983,OECD Tax Statistics,Ireland,IRL,2,4,1983,,,,,,,,,,,,,0.283264212287832,0.279265885727946,0,0.283264212287832,0.279265885727946,0.131242266316041,0.131242266316041,0.127243939756156,0.127243939756156,0.11438689935453,0,0.11438689935453,0.101342863973225,0.0130440353813053,0,0.0130440353813053,0.00667740855845087,0.00617963184317476,0.152021898159216,0,0.152021898159216,0.151724408319388,0.0724652163519005,0.0699639971312455,0.000297489839827875,0.000297489839827875,0,0,,,,0.00399832655988525,,,,0.279265885727946,,0.127243939756156,0.11438689935453,0.101342863973225,0.0130440353813053,0.152021898159216,0.151724408319388,0.000297489839827875,,,,,,
IRL1984,OECD Tax Statistics,Ireland,IRL,2,4,1984,,,,,,,,,,,,,0.289849149468958,0.286011743372766,0,0.289849149468958,0.286011743372766,0.138544123996201,0.138544123996201,0.134706717900009,0.134706717900009,0.119880666609101,0,0.119880666609101,0.108388783352042,0.011491883257059,0,0.011491883257059,0.00889180554356273,0.00593424574734479,0.151305068646922,0,0.151305068646922,0.151169674466799,0.0749672739832484,0.066346861238235,0.000135394180122615,0.000135394180122615,0,0,,,,0.00383740609619204,,,,0.286011743372766,,0.134706717900009,0.119880666609101,0.108388783352042,0.011491883257059,0.151305068646922,0.151169674466799,0.000135394180122615,,,,,,
IRL1985,OECD Tax Statistics,Ireland,IRL,2,4,1985,,,,,,,,,,,,,0.280029688804102,0.276203449783395,0,0.280029688804102,0.276203449783395,0.135439251222129,0.135439251222129,0.131613012201423,0.131613012201423,0.117742339334685,0,0.117742339334685,0.10676527165057,0.010977027940066,0,0.010977027940066,0.0079915742617543,0.0058790986049839,0.14459047732602,0,0.14459047732602,0.144659115297484,0.0702768967847065,0.0648777075632924,-0.0000686379714637733,-0.0000686379714637733,0,0,,,,0.00382623902070665,,,,0.276203449783395,,0.131613012201423,0.117742339334685,0.10676527165057,0.010977027940066,0.14459047732602,0.144659115297484,-0.0000686379714637733,,,,,,
IRL1986,OECD Tax Statistics,Ireland,IRL,2,4,1986,,,,,,,,,,,,,0.287788179545539,0.283925562479012,0,0.287788179545539,0.283925562479012,0.140659490317525,0.140659490317525,0.136796873250998,0.136796873250998,0.125598485131152,0,0.125598485131152,0.113377709786948,0.0122207753442036,0,0.0122207753442036,0.00589362337226223,0.00530476474758405,0.147128726540054,0,0.147128726540054,0.147196932950263,0.0724301705160255,0.0639701503675236,-0.0000682064102085743,-0.0000682064102085743,0,0,,,,0.00386261706652737,,,,0.283925562479012,,0.136796873250998,0.125598485131152,0.113377709786948,0.0122207753442036,0.147128726540054,0.147196932950263,-0.0000682064102085743,,,,,,
IRL1987,OECD Tax Statistics,Ireland,IRL,2,4,1987,,,,,,,,,,,,,0.289339175365709,0.28487515274238,0,0.289339175365709,0.28487515274238,0.148448486541214,0.148448486541214,0.143984463917886,0.143984463917886,0.132396676325804,0,0.132396676325804,0.121060643089062,0.0113359983241979,0,0.0113359983241979,0.00442764375240024,0.0071601438396816,0.140890688824495,0,0.140890688824495,0.140846349893517,0.0704976434032748,0.0601072164228607,0.0000443389309779004,0.0000443389309779004,0,0,,,,0.00446402262332856,,,,0.28487515274238,,0.143984463917886,0.132396676325804,0.121060643089062,0.0113359983241979,0.140890688824495,0.140846349893517,0.0000443389309779004,,,,,,
IRL1988,OECD Tax Statistics,Ireland,IRL,2,4,1988,,,,,,,,,,,,,0.306582946597817,0.30079737237728,0,0.306582946597817,0.30079737237728,0.159521929537878,0.159521929537878,0.153736355317341,0.153736355317341,0.14165063076018,0,0.14165063076018,0.127754363030263,0.0138962350480424,0,0.0138962350480424,0.00540711811229492,0.00667860644486568,0.147061049741813,0,0.147061049741813,0.146473037453428,0.0759328060657559,0.0600322570102621,0.000588012288384862,0.000588012288384862,0,0,,,,0.00578557422053729,,,,0.30079737237728,,0.153736355317341,0.14165063076018,0.127754363030263,0.0138962350480424,0.147061049741813,0.146473037453428,0.000588012288384862,,,,,,
IRL1989,OECD Tax Statistics,Ireland,IRL,2,4,1989,,,,,,,,,,,,,0.277736403276177,0.272962995698545,0,0.277736403276177,0.272962995698545,0.134922514878322,0.134922514878322,0.130149107300689,0.130149107300689,0.118192033468859,0,0.118192033468859,0.106855606623063,0.0113364268457958,0,0.0113364268457958,0.00436527016675505,0.00759180366507572,0.142813917859879,0,0.142813917859879,0.142221348182193,0.0727247068528667,0.0589237522833068,0.000592569677685463,0.000592569677685463,0,0,,,,0.00477340757763243,,,,0.272962995698545,,0.130149107300689,0.118192033468859,0.106855606623063,0.0113364268457958,0.142813917859879,0.142221348182193,0.000592569677685463,,,,,,
IRL1990,OECD Tax Statistics,Ireland,IRL,2,4,1990,,,,,,,,,,,,,0.27444892801826,0.272845710714383,0,0.27444892801826,0.272845710714383,0.13978065813429,0.13978065813429,0.138177440830412,0.138177440830412,0.126686965028124,0,0.126686965028124,0.11030053531154,0.0163864297165838,0,0.0163864297165838,0.00431423059156001,0.00717624521072797,0.134668269883971,0,0.134668269883971,0.134696203907503,0.0679332898562539,0.0566346566669384,-0.000027934023531976,-0.0000279340235319692,0,0,,,,0.00160321730387761,,,,0.272845710714383,,0.138177440830412,0.126686965028124,0.11030053531154,0.0163864297165838,0.134668269883971,0.134696203907503,-0.000027934023531976,,,,,,
IRL1991,OECD Tax Statistics,Ireland,IRL,2,4,1991,,,,,,,,,,,,,0.277626700791309,0.276007521349664,0,0.277626700791309,0.276007521349664,0.146171946410384,0.146171946410384,0.144552766968739,0.144552766968739,0.132944033846074,0,0.132944033846074,0.113242876916247,0.0197011569298269,0,0.0197011569298269,0.00445639967616411,0.00715233344650179,0.131454754380925,0,0.131454754380925,0.131518764200465,0.0667177143454075,0.0548818260165574,-0.0000640098195398402,-0.0000640098195398397,0,0,,,,0.00161917944164425,,,,0.276007521349664,,0.144552766968739,0.132944033846074,0.113242876916247,0.0197011569298269,0.131454754380925,0.131518764200465,-0.0000640098195398402,,,,,,
